,survived,pclass,sex,age,fare,adult,pclass_2
707,1,1,male,42.0,26.2875,True,first
708,1,1,female,22.0,151.55,True,first
709,1,3,male,,15.2458,False,third
710,1,1,female,24.0,49.5042,True,first
711,0,1,male,,26.55,False,first
712,1,1,male,48.0,52.0,True,first
713,0,3,male,29.0,9.4833,True,third
714,0,2,male,52.0,13.0,True,second
715,0,3,male,19.0,7.65,True,third
716,1,1,female,38.0,227.525,True,first
717,1,2,female,27.0,10.5,True,second
718,0,3,male,,15.5,False,third
719,0,3,male,33.0,7.775,True,third
720,1,2,female,6.0,33.0,False,second
721,0,3,male,17.0,7.0542,False,third
722,0,2,male,34.0,13.0,True,second
723,0,2,male,50.0,13.0,True,second
724,1,1,male,27.0,53.1,True,first
725,0,3,male,20.0,8.6625,True,third
726,1,2,female,30.0,21.0,True,second
727,1,3,female,,7.7375,False,third
728,0,2,male,25.0,26.0,True,second
729,0,3,female,25.0,7.925,True,third
730,1,1,female,29.0,211.3375,True,first
731,0,3,male,11.0,18.7875,False,third
732,0,2,male,,0.0,False,second
733,0,2,male,23.0,13.0,True,second
734,0,2,male,23.0,13.0,True,second
735,0,3,male,28.5,16.1,True,third
736,0,3,female,48.0,34.375,True,third
737,1,1,male,35.0,512.3292,True,first
738,0,3,male,,7.8958,False,third
739,0,3,male,,7.8958,False,third
740,1,1,male,,30.0,False,first
741,0,1,male,36.0,78.85,True,first
742,1,1,female,21.0,262.375,True,first
743,0,3,male,24.0,16.1,True,third
744,1,3,male,31.0,7.925,True,third
745,0,1,male,70.0,71.0,True,first
746,0,3,male,16.0,20.25,False,third
747,1,2,female,30.0,13.0,True,second
748,0,1,male,19.0,53.1,True,first
749,0,3,male,31.0,7.75,True,third
750,1,2,female,4.0,23.0,False,second
751,1,3,male,6.0,12.475,False,third
752,0,3,male,33.0,9.5,True,third
753,0,3,male,23.0,7.8958,True,third
754,1,2,female,48.0,65.0,True,second
755,1,2,male,0.67,14.5,False,second
756,0,3,male,28.0,7.7958,True,third
757,0,2,male,18.0,11.5,True,second
758,0,3,male,34.0,8.05,True,third
759,1,1,female,33.0,86.5,True,first
760,0,3,male,,14.5,False,third
761,0,3,male,41.0,7.125,True,third
762,1,3,male,20.0,7.2292,True,third
763,1,1,female,36.0,120.0,True,first
764,0,3,male,16.0,7.775,False,third
765,1,1,female,51.0,77.9583,True,first
766,0,1,male,,39.6,False,first
767,0,3,female,30.5,7.75,True,third
768,0,3,male,,24.15,False,third
769,0,3,male,32.0,8.3625,True,third
770,0,3,male,24.0,9.5,True,third
771,0,3,male,48.0,7.8542,True,third
772,0,2,female,57.0,10.5,True,second
773,0,3,male,,7.225,False,third
774,1,2,female,54.0,23.0,True,second
775,0,3,male,18.0,7.75,True,third
776,0,3,male,,7.75,False,third
777,1,3,female,5.0,12.475,False,third
778,0,3,male,,7.7375,False,third
779,1,1,female,43.0,211.3375,True,first
780,1,3,female,13.0,7.2292,False,third
781,1,1,female,17.0,57.0,False,first
782,0,1,male,29.0,30.0,True,first
783,0,3,male,,23.45,False,third
784,0,3,male,25.0,7.05,True,third
785,0,3,male,25.0,7.25,True,third
786,1,3,female,18.0,7.4958,True,third
787,0,3,male,8.0,29.125,False,third
788,1,3,male,1.0,20.575,False,third
789,0,1,male,46.0,79.2,True,first
790,0,3,male,,7.75,False,third
791,0,2,male,16.0,26.0,False,second
792,0,3,female,,69.55,False,third
793,0,1,male,,30.6958,False,first
794,0,3,male,25.0,7.8958,True,third
795,0,2,male,39.0,13.0,True,second
796,1,1,female,49.0,25.9292,True,first
797,1,3,female,31.0,8.6833,True,third
798,0,3,male,30.0,7.2292,True,third
799,0,3,female,30.0,24.15,True,third
800,0,2,male,34.0,13.0,True,second
801,1,2,female,31.0,26.25,True,second
802,1,1,male,11.0,120.0,False,first
803,1,3,male,0.42,8.5167,False,third
804,1,3,male,27.0,6.975,True,third
805,0,3,male,31.0,7.775,True,third
806,0,1,male,39.0,0.0,True,first
807,0,3,female,18.0,7.775,True,third
808,0,2,male,39.0,13.0,True,second
809,1,1,female,33.0,53.1,True,first
810,0,3,male,26.0,7.8875,True,third
811,0,3,male,39.0,24.15,True,third
812,0,2,male,35.0,10.5,True,second
813,0,3,female,6.0,31.275,False,third
814,0,3,male,30.5,8.05,True,third
815,0,1,male,,0.0,False,first
816,0,3,female,23.0,7.925,True,third
817,0,2,male,31.0,37.0042,True,second
818,0,3,male,43.0,6.45,True,third
819,0,3,male,10.0,27.9,False,third
820,1,1,female,52.0,93.5,True,first
821,1,3,male,27.0,8.6625,True,third
822,0,1,male,38.0,0.0,True,first
823,1,3,female,27.0,12.475,True,third
824,0,3,male,2.0,39.6875,False,third
825,0,3,male,,6.95,False,third
826,0,3,male,,56.4958,False,third
827,1,2,male,1.0,37.0042,False,second
828,1,3,male,,7.75,False,third
829,1,1,female,62.0,80.0,True,first
830,1,3,female,15.0,14.4542,False,third
831,1,2,male,0.83,18.75,False,second
832,0,3,male,,7.2292,False,third
833,0,3,male,23.0,7.8542,True,third
834,0,3,male,18.0,8.3,True,third
835,1,1,female,39.0,83.1583,True,first
836,0,3,male,21.0,8.6625,True,third
837,0,3,male,,8.05,False,third
838,1,3,male,32.0,56.4958,True,third
839,1,1,male,,29.7,False,first
840,0,3,male,20.0,7.925,True,third
841,0,2,male,16.0,10.5,False,second
842,1,1,female,30.0,31.0,True,first
843,0,3,male,34.5,6.4375,True,third
844,0,3,male,17.0,8.6625,False,third
845,0,3,male,42.0,7.55,True,third
846,0,3,male,,69.55,False,third
847,0,3,male,35.0,7.8958,True,third
848,0,2,male,28.0,33.0,True,second
849,1,1,female,,89.1042,False,first
850,0,3,male,4.0,31.275,False,third
851,0,3,male,74.0,7.775,True,third
852,0,3,female,9.0,15.2458,False,third
853,1,1,female,16.0,39.4,False,first
854,0,2,female,44.0,26.0,True,second
855,1,3,female,18.0,9.35,True,third
856,1,1,female,45.0,164.8667,True,first
857,1,1,male,51.0,26.55,True,first
858,1,3,female,24.0,19.2583,True,third
859,0,3,male,,7.2292,False,third
860,0,3,male,41.0,14.1083,True,third
861,0,2,male,21.0,11.5,True,second
862,1,1,female,48.0,25.9292,True,first
863,0,3,female,,69.55,False,third
864,0,2,male,24.0,13.0,True,second
865,1,2,female,42.0,13.0,True,second
866,1,2,female,27.0,13.8583,True,second
867,0,1,male,31.0,50.4958,True,first
868,0,3,male,,9.5,False,third
869,1,3,male,4.0,11.1333,False,third
870,0,3,male,26.0,7.8958,True,third
871,1,1,female,47.0,52.5542,True,first
872,0,1,male,33.0,5.0,True,first
873,0,3,male,47.0,9.0,True,third
874,1,2,female,28.0,24.0,True,second
875,1,3,female,15.0,7.225,False,third
876,0,3,male,20.0,9.8458,True,third
877,0,3,male,19.0,7.8958,True,third
878,0,3,male,,7.8958,False,third
879,1,1,female,56.0,83.1583,True,first
880,1,2,female,25.0,26.0,True,second
881,0,3,male,33.0,7.8958,True,third
882,0,3,female,22.0,10.5167,True,third
883,0,2,male,28.0,10.5,True,second
884,0,3,male,25.0,7.05,True,third
885,0,3,female,39.0,29.125,True,third
886,0,2,male,27.0,13.0,True,second
887,1,1,female,19.0,30.0,True,first
888,0,3,female,,23.45,False,third
889,1,1,male,26.0,30.0,True,first
890,0,3,male,32.0,7.75,True,third
